NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
CANTOR ESTEVES JACINTO,PRTB,Direita,PE,MASCULINO,PARDA,56.0,nan,nan,ENSINO MÉDIO COMPLETO,CANTOR E COMPOSITOR,N,NÃO DIVULGÁVEL,281
PASTOR CLAUDEMIR LOPES,PATRIOTA,Direita,TO,MASCULINO,PARDA,50.0,50000.0,BENS_G4,ENSINO MÉDIO COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",N,NÃO DIVULGÁVEL,510
TÂMARA AZEVEDO,PSOL,Esquerda,BA,FEMININO,PRETA,49.0,340000.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,500
SABBÁ,PMB,Direita,PA,MASCULINO,PRETA,50.0,686298.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,355
MARCELO ARO,PP,Direita,MG,MASCULINO,BRANCA,35.0,4834448.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,111
MARCELO HIPÓLITO,PTB,Direita,DF,MASCULINO,BRANCA,52.0,405723.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,142
VETERINARIA SHIRLEI MEDEIROS,DC,Direita,RN,FEMININO,BRANCA,41.0,20739.0,BENS_G4,SUPERIOR COMPLETO,VETERINÁRIO,N,NÃO DIVULGÁVEL,270
KENNEDY NUNES,PTB,Direita,SC,MASCULINO,BRANCA,53.0,867454.0,BENS_G1,SUPERIOR COMPLETO,JORNALISTA E REDATOR,N,NÃO DIVULGÁVEL,142
MARIO COUTO,PL,Direita,PA,MASCULINO,PARDA,77.0,465727.0,BENS_G2,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,222
GILBERTO CAMPOS COLETIVA,PSOL,Esquerda,ES,MASCULINO,PRETA,65.0,860307.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,500
